delta,tv_distance,first_Acceleration,first_Fast + safeguards,first_Conditional scaling,first_Pause,safety_Acceleration,safety_Fast + safeguards,safety_Conditional scaling,safety_Pause,unconstrained_top,oracle_safe_choice
0.335,0.19354980558728924,0.0,0.621827312891817,0.37817268710818147,0.0,0.05149780298204667,0.9190964667543434,1.000000000000001,1.000000000000001,Fast + safeguards,Conditional scaling
0.34,0.1964386086557563,0.0,0.6212525961688069,0.378747403831189,0.0,0.05112662591212694,0.9181516378999295,1.000000000000001,1.000000000000001,Fast + safeguards,Conditional scaling
0.34500000000000003,0.19932741172422327,0.0,0.6206778794458043,0.3793221205541973,0.0,0.05075544884220729,0.9172068090455181,1.0000000000000018,1.0000000000000018,Fast + safeguards,Conditional scaling
0.35000000000000003,0.2022162147926903,0.0,0.6201031627227954,0.3798968372772045,0.0,0.05038427177228764,0.9162619801911046,1.0000000000000007,1.0000000000000007,Fast + safeguards,Conditional scaling
0.355,0.20510501786115726,0.0,0.6195284459997881,0.38047155400021104,0.0,0.05001309470236777,0.9153171513366926,1.000000000000001,1.000000000000001,Fast + safeguards,Conditional scaling
0.36,0.20799382092962426,0.0,0.6189537292767793,0.3810462707232206,0.0,0.04964191763244805,0.9143723224822785,1.0000000000000009,1.0000000000000009,Fast + safeguards,Conditional scaling
0.365,0.21088262399809127,0.0,0.6183790125537723,0.38162098744622797,0.0,0.04927074056252842,0.9134274936278636,0.9999999999999982,0.9999999999999982,Fast + safeguards,Conditional scaling
0.37,0.21377142706655827,0.0,0.6178042958307627,0.3821957041692364,0.0,0.04889956349260881,0.9124826647734552,1.0000000000000018,1.0000000000000018,Fast + safeguards,Conditional scaling
0.375,0.21666023013502528,0.0,0.6172295791077588,0.3827704208922429,0.0,0.04852838642268914,0.9115378359190384,0.9999999999999999,0.9999999999999999,Fast + safeguards,Conditional scaling
0.38,0.2195490332034923,0.0,0.6166548623847482,0.38334513761525046,0.0,0.0481572093527694,0.910593007064627,0.9999999999999992,0.9999999999999992,Fast + safeguards,Conditional scaling
0.385,0.22243783627195932,0.0,0.6160801456617417,0.3839198543382604,0.0,0.04778603228284966,0.9096481782102114,0.9999999999999977,0.9999999999999977,Fast + safeguards,Conditional scaling
0.39,0.2253266393404263,0.0,0.615505428938732,0.38449457106126594,0.0,0.04741485521292997,0.9087033493557998,0.9999999999999979,0.9999999999999979,Fast + safeguards,Conditional scaling
0.395,0.2282154424088933,0.0,0.614930712215726,0.3850692877842742,0.0,0.04704367814301034,0.9077585205013873,1.0000000000000016,1.0000000000000016,Fast + safeguards,Conditional scaling
0.4,0.2311042454773603,0.0,0.6143559954927191,0.38564400450728037,0.0,0.04667250107309067,0.9068136916469767,1.0000000000000013,1.0000000000000013,Fast + safeguards,Conditional scaling
0.405,0.23399304854582734,0.0,0.6137812787697093,0.3862187212302882,0.0,0.04630132400317091,0.9058688627925638,1.0000000000000002,1.0000000000000002,Fast + safeguards,Conditional scaling
0.41000000000000003,0.23688185161429434,0.0,0.6132065620467045,0.38679343795329696,0.0,0.045930146933251204,0.9049240339381494,0.9999999999999976,0.9999999999999976,Fast + safeguards,Conditional scaling
0.41500000000000004,0.23977065468276132,0.0,0.6126318453236951,0.38736815467630464,0.0,0.04555896986333146,0.9039792050837352,0.9999999999999961,0.9999999999999961,Fast + safeguards,Conditional scaling
0.42,0.2426594577512283,0.0,0.6120571286006894,0.38794287139931194,0.0,0.0451877927934119,0.903034376229325,1.0000000000000013,1.0000000000000013,Fast + safeguards,Conditional scaling
0.425,0.24554826081969533,0.0,0.6114824118776822,0.38851758812231973,0.0,0.04481661572349203,0.9020895473749109,1.0000000000000007,1.0000000000000007,Fast + safeguards,Conditional scaling
0.43,0.24843706388816228,0.0,0.6109076951546757,0.38909230484532803,0.0,0.044445438653572485,0.901144718520501,1.0000000000000033,1.0000000000000033,Fast + safeguards,Conditional scaling
0.435,0.2513258669566294,0.0,0.6103329784316651,0.38966702156833444,0.0,0.04407426158365258,0.9001998896660874,1.000000000000001,1.000000000000001,Fast + safeguards,Conditional scaling
0.44,0.25421467002509635,0.0,0.6097582617086552,0.39024173829134273,0.0,0.043703084513733004,0.8992550608116727,0.9999999999999993,0.9999999999999993,Fast + safeguards,Conditional scaling
0.445,0.2571034730935634,0.0,0.6091835449856465,0.39081645501435064,0.0,0.04333190744381332,0.8983102319572583,0.9999999999999998,0.9999999999999998,Fast + safeguards,Conditional scaling
0.45,0.25999227616203036,0.0,0.6086088282626421,0.3913911717373587,0.0,0.04296073037389361,0.8973654031028458,0.9999999999999992,0.9999999999999992,Fast + safeguards,Conditional scaling
0.455,0.26288107923049736,0.0,0.6080341115396334,0.3919658884603664,0.0,0.042589553303973765,0.8964205742484351,1.0000000000000009,1.0000000000000009,Fast + safeguards,Conditional scaling
0.46,0.26576988229896437,0.0,0.6074593948166241,0.39254060518337297,0.0,0.04221837623405413,0.8954757453940236,1.0000000000000009,1.0000000000000009,Fast + safeguards,Conditional scaling
0.465,0.2686586853674314,0.0,0.6068846780936209,0.39311532190638226,0.0,0.041847199164134444,0.8945309165396049,0.9999999999999952,0.9999999999999952,Fast + safeguards,Conditional scaling
0.47000000000000003,0.2715474884358984,0.0,0.6063099613706119,0.39369003862938934,0.0,0.04147602209421482,0.8935860876851945,0.9999999999999992,0.9999999999999992,Fast + safeguards,Conditional scaling
0.47500000000000003,0.27443629150436544,0.0,0.6057352446476055,0.3942647553523969,0.0,0.041104845024295095,0.8926412588307838,1.0000000000000007,1.0000000000000007,Fast + safeguards,Conditional scaling
0.48,0.27732509457283233,0.0,0.6051605279245978,0.39483947207540493,0.0,0.040733667954375365,0.89169642997637,0.9999999999999984,0.9999999999999984,Fast + safeguards,Conditional scaling
0.485,0.28021389764129934,0.0,0.6045858112015897,0.3954141887984133,0.0,0.04036249088445564,0.8907516011219583,1.0000000000000013,1.0000000000000013,Fast + safeguards,Conditional scaling
0.49,0.2831027007097664,0.0,0.604011094478579,0.3959889055214188,0.0,0.039991313814535905,0.8898067722675448,1.0000000000000009,1.0000000000000009,Fast + safeguards,Conditional scaling
0.495,0.28599150377823335,0.0,0.6034363777555707,0.3965636222444283,0.0,0.03962013674461625,0.8888619434131301,0.9999999999999983,0.9999999999999983,Fast + safeguards,Conditional scaling
0.5,0.2888803068467004,0.0,0.6028616610325653,0.39713833896743417,0.0,0.039248959674696576,0.8879171145587174,0.9999999999999976,0.9999999999999976,Fast + safeguards,Conditional scaling
